title,price,description,in_stock,image_link
Смартфон Apple iPhone SE 64GB 2020 Black Slim Box,56 390 сом,"Операционная система: iOS 13  / Количество SIM-карт: 1  / Диагональ дисплея: 4,7″ - 11,93 см  / Объем встроенной памяти: 64 GB  / Основная камера: 12 Mpx  / Фронтальная камера: 7 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2743_3_6.png
Смартфон Xiaomi Redmi Note 10 Pro 8/128GB Gradient Bronze,29 090 сом,"Операционная система: MIUI 12 (на базе Android 11)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 128 GB  / Основная камера: 108 Mpx + 8 Mpx + 5 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2936_4_1.jpg
Смартфон HUAWEI P smart 2021 Crush Green,18 190 сом,"Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 128 GB  / Основная камера: 48 Мп + 8 Мп + 2 Мп + 2 Мп  / Фронтальная камера: 8 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2775_5_1.jpg
Смартфон Apple iPhone 14 Plus 6/256GB Blue,118 190 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,7″ - 17,02 см  / Объем встроенной памяти: 256 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3785_0_1.jpg
Смартфон Apple iPhone 14 Plus 6/256GB Purple,118 190 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,7″ - 17,02 см  / Объем встроенной памяти: 256 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3783_0_1.jpg
Смартфон Apple iPhone 14 Plus 6/256GB Starlight,118 190 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,7″ - 17,02 см  / Объем встроенной памяти: 256 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3782_0_1.jpg
Смартфон Apple iPhone 14 Plus 6/256GB Midnight,118 190 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,7″ - 17,02 см  / Объем встроенной памяти: 256 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3781_0_1.jpg
Смартфон Apple iPhone 14 Plus 6/128GB Blue,105 490 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,7″ - 17,02 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3780_0_1.jpg
Смартфон Apple iPhone 14 Plus 6/128GB Starlight,105 490 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,7″ - 17,02 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3777_0_1.jpg
Смартфон Apple iPhone 14 Plus 6/128GB Midnight,105 490 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,7″ - 17,02 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3776_0_1.jpg
Смартфон Apple iPhone 14 6/512GB Midnight,129 090 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 512 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3771_0_1.jpg
